osm_id,x,y,code,religion,sect,name
914726707,-87.0887657,20.6237704,3400,Temple,Buddhist,DiamondWay Buddhist Center
1675139523,-98.9890933,19.5934244,3400,Temple,Buddhist,San Judas
1684947219,-99.1587724,19.3957505,3400,Temple,Buddhist,Centro de Meditación Kadampa México
2096752776,-99.1601752,19.41949,3400,Temple,Buddhist,Casa Tibet México
2096752777,-99.1677926,19.406892,3400,Temple,Buddhist,Casa Tibet México - Anexo
3601593596,-99.1009832,18.9885582,3400,Temple,Buddhist,Ligmincha Morelos Bön Buddhist Sangha
4753706621,-99.1756829,19.3891275,3400,Temple,Buddhist,BDK templo Budista Eki de México
5850377326,-99.0842999,19.4147614,3400,Temple,Buddhist,Herbario Taoista Publico
5855838180,-99.0838483,19.4151454,3400,Temple,Buddhist,Meditatorio Se libre Said Rey
5994253895,-106.0692447,28.6345232,3400,Temple,Buddhist,iglesia budista
8883716866,-116.6235774,31.8766543,3400,Temple,Buddhist,तारा
9316538573,-96.9560914,19.6255957,3400,Temple,Buddhist,Dhammavihāra
10637690292,-97.0936718,19.470218,3400,Temple,Buddhist,Maggasacca
269790003,-105.2311456,20.6148254,3102,Church,Catholic,Iglesia del Refugio
280909439,-105.2188003,20.652036,3102,Church,Catholic,San Miguel Arcangel
292219067,-98.4042994,19.1586926,3102,Church,Catholic,Ex Convento Franciscano
292219104,-98.4086514,19.1581207,3102,Church,Catholic,Parroquia San Miguel Arcanguel
292219122,-98.4067244,19.1611737,3102,Church,Catholic,San Diego
292249031,-98.3034766,19.0627459,3102,Church,Catholic,Capilla Real
292282378,-89.6263437,20.9637948,3102,Church,Catholic,Templo de la Candelaria
298721550,-92.2651161,14.9107032,3102,Church,Catholic,Iglesia de San Agustin
299498556,-99.1715003,19.3414172,3102,Church,Catholic,Parroquia de la Ascención del Señor
300473206,-101.2525471,21.0174055,3102,Church,Catholic,Templo de la Compañía de Jesús
302349935,-92.6350524,16.7264943,3102,Church,Catholic,Iglesia de San Diego
302683460,-92.6422531,16.7361409,3102,Church,Catholic,Iglesia La Merced
303430025,-92.2513866,14.9542496,3102,Church,Catholic,Seminario Major
304865685,-92.6496803,16.737602,3102,Church,Catholic,Templo de San Ramón Nonato
305214594,-99.0635061,18.8841658,3102,Church,Catholic,Parroquia de la Asunción de María
305473626,-92.6389482,16.7433634,3102,Church,Catholic,Iglesia de Mexicanos
305473667,-92.6371722,16.7409527,3102,Church,Catholic,Templo La Caridad
306294966,-99.0581723,18.8887861,3102,Church,Catholic,Santiago Apostol
306688697,-99.2392515,18.9476742,3102,Church,Catholic,San Pío X
311772227,-92.638661,16.7352337,3102,Church,Catholic,Santa Agustin
313578676,-92.6420937,16.7453023,3102,Church,Catholic,Ermita de Tlaxcala
315395943,-92.672757,16.7240549,3102,Church,Catholic,San Felipe
318077107,-99.179864,19.3484677,3102,Church,Catholic,Santuario San José del Altillo
318807422,-92.6546776,16.730269,3102,Church,Catholic,Fatima
319142986,-99.1869011,19.3568031,3102,Church,Catholic,Iglesia de Nuesta Señora de Guadalupe
319148725,-99.1855022,19.365591,3102,Church,Catholic,Parroquia de Nuestra Señora de Guadalupe Emperatriz de América
324565657,-89.4390121,20.8888621,3102,Church,Catholic,Iglesia
324694698,-89.4621141,20.9226309,3102,Church,Catholic,Igleisa
324746800,-89.5201434,21.0749671,3102,Church,Catholic,Iglesia de San Francisco de Asís
328002495,-99.1881312,19.3683297,3102,Church,Catholic,Parroquia de la Purificación de Nuestra Señora La Candelaria Mixcoac
330172521,-93.0116128,16.7039839,3102,Church,Catholic,Templo del Calvario
330387034,-99.1828957,19.3718449,3102,Church,Catholic,Sto Domingo de Guzman
330546163,-89.3947076,21.0030713,3102,Church,Catholic,Iglesia de San Bernardino de Siena
330593107,-104.3680596,21.0353562,3102,Church,Catholic,Santo Santiago
330798971,-99.2372858,19.4185823,3102,Church,Catholic,Parroquia de Czestojova
354969817,-98.2995274,19.0533667,3102,Church,Catholic,Iglesia de los Remedios
363980638,-117.0501215,32.5340666,3102,Church,Catholic,Inmaculada Concepción
370155422,-113.7540577,28.7445073,3102,Church,Catholic,San Francisco de Borja
373694144,-99.0947673,18.9891042,3102,Church,Catholic,Santo Domingo
381569455,-99.2368243,18.9202329,3102,Church,Catholic,Catedral de la Asunción de María
381569463,-99.2370881,18.9209756,3102,Church,Catholic,Templo de la Tercera Orden de San Francisco
381569466,-99.2365656,18.9209986,3102,Church,Catholic,Capilla del Carmen
443438736,-101.1903165,20.130093,3102,Church,Catholic,Capilla de la Virgen Soledad
444949663,-86.9315138,20.5007126,3102,Church,Catholic,Sagrado Corazon de Jesús
451612951,-98.237343,19.3125155,3102,Church,Catholic,Iglesia del Cristo del Buen Vecino
489347472,-98.4350115,19.2828642,3102,Church,Catholic,Iglesia de San Martin Obispo de Tours
489351476,-98.4375278,19.2828454,3102,Church,Catholic,Iglesia de Maria Magdalena
605504510,-96.1542762,19.205788,3102,Church,Catholic,La Divina Providencia
605505246,-96.099763,19.1538245,3102,Church,Catholic,San Pedro y San Pablo
634482053,-100.3893327,20.5949765,3102,Church,Catholic,Parroquia de Santiago
663072058,-103.4473793,25.5491255,3102,Church,Catholic,Los Angeles
773019174,-99.1599154,19.3426793,3102,Church,Catholic,Capilla del Niño Jesús
805301660,-101.0055208,25.3947829,3102,Church,Catholic,Iglesia de Nuestra Señora de Lourdes
858894390,-87.075219,20.6224017,3102,Church,Catholic,Capilla de la Quinta Avenida
871093846,-101.2501753,21.0200716,3102,Church,Catholic,Templo de Guadalupe
924435712,-99.8138387,20.694418,3102,Church,Catholic,Templo San Pedro y San Pablo
924435716,-99.8172849,20.6932814,3102,Church,Catholic,Templo del Refugio
937990806,-102.3045597,21.8792534,3102,Church,Catholic,San Marcos
937990848,-102.2997734,21.8805792,3102,Church,Catholic,La Merced
945537107,-100.218942,25.7060745,3102,Church,Catholic,Nuestra Señora de las Mercedes
983960508,-99.1469733,19.4376099,3102,Church,Catholic,Iglesia de San Hipólito (Templo de San Judas Tadeo)
994311281,-99.1896647,19.375608,3102,Church,Catholic,Iglesia de Cristo Redentor
994356023,-99.1770125,19.36942,3102,Church,Catholic,Sto Tomás Aquino
1033487991,-100.9896869,25.465486,3102,Church,Catholic,Parroquia del Sagrado Corazon de Maria
1034127765,-92.2454591,14.8893843,3102,Church,Catholic,Seminario Menor
1124229524,-100.9816665,25.440499,3102,Church,Catholic,Padre Nuestro
1126794657,-99.136121,19.3299912,3102,Church,Catholic,Parroquia Jesús Crucificado
1162013202,-96.1739611,19.1958107,3102,Church,Catholic,Jesús Pastor
1169107057,-117.0535152,32.5276017,3102,Church,Catholic,Iglesia de la Sagrada Familia
1213450506,-102.3072495,21.8867968,3102,Church,Catholic,Templo el Senor de los Rayos
1213450525,-102.2918584,21.885596,3102,Church,Catholic,Templo de San Antonio
1216053284,-102.2838533,21.8826357,3102,Church,Catholic,Templo de la Purísima Concepción
1224310124,-102.3211896,21.895653,3102,Church,Catholic,Santa Maria Reina
1227952499,-102.2894288,21.8967795,3102,Church,Catholic,Templo San Francisco de Asis
1227952706,-102.2903645,21.8627761,3102,Church,Catholic,Templo La Asuncion
1227952716,-102.2931733,21.8752966,3102,Church,Catholic,Templo del Senor del Encino
1227952744,-102.2932979,21.8833072,3102,Church,Catholic,Templo de San Jose
1240986743,-115.4473713,32.6304369,3102,Church,Catholic,Medalla Milagrosa
1245453138,-90.5835796,19.5005132,3102,Church,Catholic,"Parroquia ""San Francisco De Asis"""
1259593041,-96.164172,19.2050658,3102,Church,Catholic,Nuestra Señora del Consuelo
1301345224,-109.9395133,27.4792471,3102,Church,Catholic,Santísima Trinidad
1305931152,-103.6920318,19.1816701,3102,Church,Catholic,La Ermita
1324396594,-116.6226104,31.8789419,3102,Church,Catholic,Catolic
1335797064,-100.9936931,25.4393364,3102,Church,Catholic,Parroquia Nuestra Señora de Fátima
1404627117,-98.0480344,18.201424,3102,Church,Catholic,San Juan Bautista
1446278037,-99.1477614,19.4630417,3102,Church,Catholic,Sagrado Corazón de Jesús
1459341537,-103.3865749,20.698988,3102,Church,Catholic,Iglesia de la Madre de Dios
1472601101,-102.3119951,21.8775039,3102,Church,Catholic,Templo de Los Dolores
1477974642,-99.991547,21.9312702,3102,Church,Catholic,Santa Catarina de Alejandria
